intent,precision,recall,f1-score,support
app_problems,0.0,0.0,0.0,12.0
app_store_downloads,0.5,0.5,0.5,2.0
apple_id_icloud,1.0,0.25,0.4,16.0
apple_music_itunes,0.6153846153846154,1.0,0.7619047619047619,8.0
audio_speaker,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
battery_charging,0.6363636363636364,0.6363636363636364,0.6363636363636364,11.0
calls_cellular,1.0,0.2222222222222222,0.36363636363636365,9.0
device_hardware,0.8,0.36363636363636365,0.5,11.0
ios_software_update,0.7857142857142857,0.3055555555555556,0.44,36.0
other_unclear,0.29213483146067415,0.9285714285714286,0.4444444444444444,28.0
screen_display,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
wifi_connectivity,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
accuracy,0.4875,0.4875,0.4875,0.4875
macro avg,0.6484260433698638,0.48484848484848486,0.4844374144374144,160.0
weighted avg,0.6428452072272297,0.4875,0.4616256382506382,160.0
