metric,value
total_examples,160.0
intent_accuracy,0.9125
intent_macro_f1,0.9075445042424112
intent_weighted_f1,0.9133395000686821
evidence_used_count,135.0
evidence_used_rate,0.84375
evidence_safe_count,135.0
evidence_safe_rate,0.84375
avg_evidence_relevance,0.5680625
avg_evidence_quality,0.75075
avg_problem_match,0.48890625000000004
grounded_count,160.0
grounded_rate,1.0
unsupported_claims_count,0.0
unsupported_claims_rate,0.0
safe_to_answer_count,135.0
safe_to_answer_rate,0.84375
generation_error_count,0.0
escalation_count,3.0
